Name of Selection,Event Name,File or Volume Number,Date,From,Composer,Editor,Arranger,Lyricist,Voicing,Key,Location,Description,Accompany,Director,Set Designer,Authors,Date Copy,Editor Copy,Publisher,Notes,From:
African Noel,,298,,,Johnson,,,,,,StFYC,Christmas,,,,,,,,,
Ain-a That Good News,,200,,,"""Dawson, W.""",,,,TTBB,,StFYC,Spiritual,,,,,,,,,
Ain't Misbehavin,,237,,,Richardson,,,,, ,StFYC,Broadway Musical,,,,,,,,,
Alexander's Ragtime Band,Spring Show,316,,,Berlin//Hood,,,,,,StFYC,Broadway Show,,,,,,,,,
"""Alfred Burt Carols Volume 1 Caroling, Caroling""",,22,,,Alfred Burt,,,,TTBB,,StFYC,Christmas,,,,,,,,,
All the things you are,,191,,,"""Rogers, J""",,,,TTBB,,StFYC,Pop,,,,,,,,,
All Those In Favor Of Having A Drink,,159,,,Joe Allen,,,,TTBB,,StFYC,SOTS Drinking Song,,,,,,,,,
Alleluia,,152,,,"""THOMPSON, R.""",,"""THOMPSON, R.""","""THOMPSON, R.""",TTBB,,StFYC,Sacred,,,,,,,,,
Amazed,,380,,,"""Green, Marv""",,,,TBB,,StFYC,Cowboy Song Western,,,,,,,,,
Amazing Grace,,2,,,COATES,,"""COATES, J.""",,TTBB,,StFYC,Scotish Folk Hymn,,,,,,,,,
Amen,,183,,,Hairston,,,,T-TTBB,,StFYC,Christmas Spiritual,,,,,,,,,
America the Beautiful,,235,,,Ward/Spebsqua,,,,,,StFYC,Patriotic,,,,,,,,,
"""America, The Beautiful""",,3,,,Jack Rogers,,Rogers,,TB,,StFYC,Patriotic,,,,,,,,,
Anchor's Aweigh,,4,,,Arr. Zimmerman,,,Lottman,TTBB,,StFYC,Chantey,,,,,,,,,
Anchor's Aweigh,,201,,,/Allen ,,"""Allen, J.""",,TTBB,,StFYC,Chantey Patriotic,,,,,,,,,
Angels We Have Heard on High,,321,,,Evans,,,,,,StFYC,Christmas
April Showers,,271,,,Silvers//Stickles,,,,,,StFYC,Pop
"""Aquarius, Let the Sunshine In""",,357,,,,,,,TTBB,,StFYC,Pop
A-Roving,,5,,,Robert Ton,,"""LUBOFF, N.""",,TTBB,,StFYC,Chantey
Art of the Ground Round,,7,,,"""BACH, P.D.Q.""",,"""SCHICKELE, P.""","""SCHICKELE, P.""",3 part,,StFYC,Parody on Bach
As I walked through the meadows,,358,,,,,,,TTBB,,StFYC,Scotish Folk Song
At The River,,202,,,"""Copland, A.""",,"""Wilding-White, R.""",,,,StFYC,Sacred
Aura Lee,,236,,,Spebsqua,,,,,,StFYC,English Folk Song
Autumn Leaves,,258,,,//Reed,,,,,,StFYC,Pop
Away to Rio!,,83,,,Bartholomew,,"""BARTHOLOMEW, M.""",,TTBB,,StFYC,Chantey
Ballad of Santy Anno,,385,,,"""Crocker, Emily""",,,,TTBB,,StFYC,Ballad
"""Banjo Song, A""",,23,,,Sidney Homer,,,,TTBB,,StFYC,Minstrel Song
Banks of Doon,,262,,,Mulholland//Goodrich,,,,,,StFYC,Scotish Love Song
Battle Hymn Of The Republic,,54,,,STEFFE//Ringwald,,"""RINGWALD, R.""","""HOWE, J.""",TTBB,,StFYC,Patriotic
Battle Hymn Of The Republic,,317,,,//WILHOUSKY,,"""RINGWALD, R.""","""HOWE, J.""",TTBB,,StFYC,Patriotic
Be Still My Soul,,165,,,"""Sibelius, J.
""",,Boustead,Schleggl,TTBB,,StFYC,Sacred
Beach Boys Car Tunes,,395,,,Wilson/Chin,,,,TTB,,StFYC,Pop
Blow the Man Down,,61,,,arr. Tolleson,,"""TOLLESON, W.""",,TTBB,,StFYC,Chantey
Boatmen's Dance (The),,11,,,"""COPLAND, A. (ADPT.)""",,"""FINE, I.""",,TTBB,,StFYC,WORK SONG
