Name of Selection,File or Volume Number,Composer,Arranger,Arranger,Voicing,Description
African Noel,298,Johnson,,,,Christmas
Ain-a That Good News,200,"Dawson, W.",,,TTBB,Spiritual
Ain't Misbehavin,237,Richardson,,,,Broadway Musical
Alexander's Ragtime Band,316,Berlin/Hood,,,,Broadway Show
"Alfred Burt Carols Volume 1 Caroling, Caroling",22,Alfred Burt,,,TTBB,Christmas
All the things you are,191,"Rogers, J",,,TTBB,Pop
All Those In Favor Of Having A Drink,159,Joe Allen,,,TTBB,SOTS Drinking Song
Alleluia,152,"THOMPSON, R.","THOMPSON, R.","THOMPSON, R.",TTBB,Sacred
Amazed,380,"Green, Marv",,,TBB,Cowboy Song Western
Amazing Grace,2,COATES,"COATES, J.",,TTBB,Scotish Folk Hymn
Amen,183,Hairston,,,T-TTBB,Christmas Spiritual
America the Beautiful,235,Ward/Spebsqua,,,,Patriotic
"America, The Beautiful",3,Jack Rogers,Rogers,,TB,Patriotic
Anchor's Aweigh,4,Arr. Zimmerman,,Lottman,TTBB,Chantey
Anchor's Aweigh,201,/Allen ,"Allen, J.",,TTBB,Chantey Patriotic
Angels We Have Heard on High,321,Evans,,,,Christmas
April Showers,271,Silvers/Stickles,,,,Pop
"Aquarius, Let the Sunshine In",357,,,,TTBB,Pop
A-Roving,5,Robert Ton,"LUBOFF, N.",,TTBB,Chantey
Art of the Ground Round,7,"BACH, P.D.Q.","SCHICKELE, P.","SCHICKELE, P.",3 part,Parody on Bach
As I walked through the meadows,358,,,,TTBB,Scotish Folk Song
At The River,202,"Copland, A.","Wilding-White, R.",,,Sacred
Aura Lee,236,Spebsqua,,,,English Folk Song
Autumn Leaves,258,/Reed,,,,Pop
Away to Rio!,83,Bartholomew,"BARTHOLOMEW, M.",,TTBB,Chantey
Ballad of Santy Anno,385,"Crocker, Emily",,,TTBB,Ballad
"Banjo Song, A",23,Sidney Homer,,,TTBB,Minstrel Song
Banks of Doon,262,Mulholland/Goodrich,,,,Scotish Love Song
Battle Hymn Of The Republic,54,STEFFE/Ringwald,"RINGWALD, R.","HOWE, J.",TTBB,Patriotic
Battle Hymn Of The Republic,317,/WILHOUSKY,"RINGWALD, R.","HOWE, J.",TTBB,Patriotic
Be Still My Soul,165,"Sibelius, J.",Boustead,Schleggl,TTBB,Sacred
Beach Boys Car Tunes,395,Wilson/Chin,,,TTB,Pop
Blow the Man Down,61,arr. Tolleson,"TOLLESON, W.",,TTBB,Chantey
Boatmen's Dance (The),11,"COPLAND, A. (ADPT.)","FINE, I.",,TTBB,WORK SONG
Book of Love,37,Edwards/Lowjeski,,,TTBB,Pop
Cabaret,255,,,,,Broadway Shpow
Call Me Irresponsible,306,Cahn/Sterling,,,,Pop
Calypso Noel,19,"KRUNNFUSZ, G.",,"KRUNNFUSZ, G.",TTBB,Christmas
Cantate Domino (O Sing Unto The Lord),192,"Hassler, H.","Greyson, N.",,,Sacred
Cape Cod Girls,392,"Crocker, Emily",,,TTBB,Chantey
Captain Fate,126,Schicklele,,,TTBB,Chantey
Captain Stratton's Fancy,15,"TAYLOR, DEEMS",High,"MASEFIELD, J.",TTBB,Chantey
Careless Love,239,/McLeod,,,,Love Song
Carol of the Birds,18,ARR. VICKERY,VICKERY,,TTBB,Christmas
"Carol, Brothers, Carol",6,"RINGWALD, R.",,MUHLENBERG,TTBB,Christmas
"Caroling, Caroling",122,Alfred Burt,"ROSS, J.",,TTBB,Christmas
"Catches for 3, 4, & 5 Voices",21,arr. Lawton,,,TTBB,Catch
Celtic Hymn,384,"Roberton, Hugh",,,TTBB,Sacred
Christmas in Song (Green Songbook Collection),0,,"Preuss, Theo.",,,Christmas
Christmas Song (Chestnuts),140,Torme/Ringwald,Ringold,,TTBB,Christmas
Christmas Song (Chestnuts),141,Torme/Boyden,Boyden,,TTBB,Christmas
Christmas Song (Chestnuts),179,Jack Rogers,"Rogers, J.",,TTBB,Christmas
Christmas Word Sheets,178,,,,,Christmas
Christopher and Me,368,Donnelly,,,TTBB,Chantey
"Cigarettes, Whisky and Wild, Wild Women",185,Spencer,,,Unison,American Folk
Clancy Lowered the Boom,266,Lang/Wilson,,,,Novelty
Climb Ev'ry Mountain,33,"RODGERS, R.","SMITH, C.","HAMMERSTEIN, O",TTBB,Broadway Musical
Coffee Grows On White Oak Trees,211,Ferguson,"Ferguson, E.",,TTBB,Folk Song
Cool Water,186,"Nolan, Bob",,,TTB,Cowboy Song Western
Could I Ever Leave My San Francisco,109,Clay Schmit,,,TTBB,SOTS Irish
Coventry Carol,325,Evans,,,,Christmas
Danny Boy,265,Schmit,,,,Irish Folk Song
